	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
2601302	2101001	2	{}		100	夜刀神十香	「只要是和 %s 在一起！无论吃什么都很美味！」	1	{}			{}	{}					2601303	2	10107			id_pose_5		id_look_4	103_eff	id_sun	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2601303	2101001	2	{}		100	1	「诶！」	1	{}			{}	{}					2601304		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2601304	2101001	2	{}		100		十香突如其来类似告白的话语让我有些来不及反应	1	{}			{}	{}					2601305		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2601305	2101001	2	{}		100	1	「十……十香，其实……其实我也」	1	{}			{}	{}					2601306		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2601306	2101001	2	{}		100	夜刀神十香	「唔姆？」	1	{}			{}	{}					2601307		1			id_pose_5		id_look_7	103_eff	id_sweat	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2601307	2101001	2	{}		100	1	「我也喜欢这样和十香在一起！」	1	{}			{}	{}					2601308		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2601308	2101001	2	{}		100	夜刀神十香	「诶……？诶！！」	1	{}			{}	{}					2601309		1								2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_4.mp3								1						{}	{}					{}	{}		{}		
2601309	2101001	2	{}		100	1	「每当看见十香吃东西快乐地样子，自己也会变得很快乐！」	1	{}			{}	{}					2601310		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2601310	2101001	2	{}		100	夜刀神十香	「唔姆！」	1	{}			{}	{}					2601311		1			id_pose_9		id_look_7	103_eff	id_sweat	2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2601311	2101001	2	{}		100		十香满脸通红地咬住面包，不时抬头观察我的表情	1	{}			{}	{}					2601312		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2601312	2101001	2	{}		100		……我不禁老脸一红，不知所措地挠了挠头	1	{}			{}	{}					2601313		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2601313	2101001	2	{}		100		就这样和十香有一句没一句的聊着，度过了融洽的一次约会	1	{}			{}	{}				2		2	1								2	{}	1.2										{}											{}										1		{}											1						{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				2	{}	{}		{}		
2602101	2101001	2	{}		100		默默祈祷	1	{}			{}	{}				2	2602102	1	10107			id_pose_6		id_look_10			4	{}	1.2	10204			id_pose_1		id_look_1			5	{}	1.2										{}							scene/bg/bg_mianbaodian.png	2		1	-1	{}	sound/bgm/date_001.mp3						date_cg_8	3		10							{}	{}					{}	{}		{}		
2602201	2101001	2	{}		100		呐喊助威	1	{}			{}	{}					2602202	1	10107			id_pose_6		id_look_10			4	{}	1.2	10204			id_pose_1		id_look_1			5	{}	1.2										{}							scene/bg/bg_mianbaodian.png	2		1	-1	{}	sound/bgm/date_001.mp3						date_cg_8	3		30							{}	{}					{}	{}		{}		
2602102	2101001	2	{}		100		最终十香和折纸都没有力气吃下最后一个黄豆粉面包	1	{}			{}	{}					2602103		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2602103	2101001	2	{}		100		虽然很可惜，但大家都尽力了	1	{}			{}	{}					2602104		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2602104	2101001	2	{}		100		可是……刚醒过来的两人……	1	{}			{}	{}					2602105		1			id_pose_2		id_look_13			4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2602105	2101001	2	{}		100	鸢一折纸	「一定是夜刀神十香拖了后腿」	1	{}			{}	{}					2602106		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2602106	2101001	2	{}		100	夜刀神十香	「哼，才没有的事！我明明比鸢一折纸表现得更好。对不对， %s ！」	1	{}			{}	{}					2602107		1			id_pose_2		id_look_8	103_eff	id_angry	4	{}	1.2	1								5	{}	1.2										{}										1		{}			sound/role/yuyin_shixiang_6.mp3														{}	{}					{}	{}		{}		
2602107	2101001	2	{}		100		哎……	1	{}			{}	{}							1								4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				4	{}	{}		{}		
2602202	2101001	2	{}		100	店长	「选手鸢一折纸打开了一袋黄豆粉面包，然后将面包撕成两半」	1	{}			{}	{}					2602203		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2602203	2101001	2	{}		100	店长	「她会怎么做呢？诶！！！鸢一折纸提起一半面包，递到了选手夜刀神十香的嘴边！」	1	{}			{}	{}					2602204		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2602204	2101001	2	{}		100	店长	「原来她们想合力吃掉一个黄豆粉面包！！因为是团队比赛，所以这并不犯规！！」	1	{}			{}	{}					2602205		1			id_pose_6		id_look_8			4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2602205	2101001	2	{}		100	1	「加油十香！加油折纸！」	1	{}			{}	{}					2602206		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2602206	2101001	2	{}		100		围观人群开始齐声呼喊起了加油	1	{}			{}	{}					2602207		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2602207	2101001	2	{}		100	店长	「比赛结束！选手鸢一折纸与选手夜刀神十香已经吃完了全部的黄豆粉面包获得了最后的胜利！！！！！！」	1	{}			{}	{}					2602208		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2602208	2101001	2	{}		100	夜刀神十香	「可别会错意，我只是想赢下比赛而已，不过这样的人合作……偶尔一次还不错啦」	1	{}			{}	{}					2602209		1			id_pose_6		id_look_5	103_eff	id_gas	4	{}	1.2	1								5	{}	1.2										{}										1		{}			sound/role/yuyin_shixiang_10.mp3														{}	{}					{}	{}		{}		
2602209	2101001	2	{}		100	鸢一折纸	「同上」	1	{}			{}	{}					2602210		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2602210	2101001	2	{}		100		在人群的欢呼声中，大胃王比赛完美落幕	1	{}			{}	{}					2602211		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2602211	2101001	2	{}		100		而十香和折纸关系似乎融洽一些了吧，是吧？哈哈	1	{}			{}	{}							1								4	{}	1.2	1								5	{}	1.2										{}										1		{}											1						{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5},{"id":540004,"num":1}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				1	{}	{}		{}		
2603101	2101001	2	{}		100		毫不犹豫一口咬下	1	{}			{}	{}					2603102	1	10107			id_pose_6		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2603201	2101001	2	{}		100		围绕牙印舔舐一圈	1	{}			{}	{}					2603202	1	10107			id_pose_6		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									-30	1						{}	{}					{}	{}		{}		
2603102	2101001	2	{}		100		似乎没有退缩的理由，就当我对着面包咬过去的时候	1	{}			{}	{}					2603103		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2603103	2101001	2	{}		100		十香突然迅速收回了手，我非常滑稽地咬了个空……	1	{}			{}	{}					2603104		1			id_pose_14		id_look_4			2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2603104	2101001	2	{}		100	夜刀神十香	「哼~才没这么容易就让你吃掉呢~」	1	{}			{}	{}					2603105		1			id_pose_11			103_eff	id_idea	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_6.mp3								1						{}	{}					{}	{}		{}		
2603105	2101001	2	{}		100		我郁闷地收回伸长的脖子，故作生气地皱起眉头	1	{}			{}	{}					2603106		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2603106	2101001	2	{}		100	1	「不算数，再来一次！」	1	{}			{}	{}					2603107		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2603107	2101001	2	{}		100	夜刀神十香	「哼哼，我才不会输呢！」	1	{}			{}	{}					2601313		1			id_pose_10		id_look_8	103_eff	id_gas	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2603202	2101001	2	{}		100		身体好像不受控制一样，接触到面包时，自己竟然忍不住开始舔起了面包上的牙印	1	{}			{}	{}					2603203		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2603203	2101001	2	{}		100		回过神时发现十香正一脸羞怒的盯着自己	1	{}			{}	{}					2603204		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2603204	2101001	2	{}		100	夜刀神十香	「你……你……你在做什么啊！」	1	{}			{}	{}					2603205		1			id_pose_10		id_look_10			2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_4.mp3								1						{}	{}					{}	{}		{}		
2603205	2101001	2	{}		100		我急忙收回伸长的脖子，头脑一片空白，刚才做出这种羞愧举动并非自己的本意	1	{}			{}	{}					2603206		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2603206	2101001	2	{}		100	1	「请……请听我解释！其实我是……那个刚才……」	1	{}			{}	{}					2603207	2	1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2603207	2101001	2	{}		100		无法狡辩……	1	{}			{}	{}					2603208		1			id_pose_7		id_look_8			2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2603208	2101001	2	{}		100	夜刀神十香	「呜……」	1	{}			{}	{}					2603209											{}											{}											{}										1		{}			sound/role/yuyin_shixiang_5.mp3														{}	{}					{}	{}		{}		
2603209	2101001	2	{}		100		十香头也不回离开了面包店	1	{}			{}	{}					2603210											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2603210	2101001	2	{}		100		真是糟糕的一次约会……	1	{}			{}	{}																{}											{}											{}										1		{}																	{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				4	{}	{}		{}		
2604101	2101001	2	{}		100		「我们不是约定好的么」	1	{}			{}	{}					2601202	1	10107			id_pose_9		id_look_3			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									30	1						{}	{}					{}	{}		{}		
2604201	2101001	2	{}		100		「喜欢这样和十香在一起」	1	{}			{}	{}					2601302	1	10107			id_pose_9		id_look_3			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2604301	2101001	2	{}		100		「这个世界是包容的」	1	{}			{}	{}					2604302	1	10107			id_pose_9		id_look_3			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									10	1						{}	{}					{}	{}		{}		
2604302	2101001	2	{}		100	夜刀神十香	「唔姆！大家都教会了我很多」	1	{}			{}	{}					2604303	2	1			id_pose_6			103_eff	id_sun	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2604303	2101001	2	{}		100	夜刀神十香	「而且每天还能吃到这么多美味的食物」	1	{}			{}	{}					2604304		1								2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2604304	2101001	2	{}		100	夜刀神十香	「每一天都过得很快乐」	1	{}			{}	{}					2604305		1			id_pose_10		id_look_4			2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2604305	2101001	2	{}		100	1	「那真是太好了」	1	{}			{}	{}					2604306		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2604306	2101001	2	{}		100		发自内心的感叹	1	{}			{}	{}					2604307		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2604307	2101001	2	{}		100		让[精灵]感受到世界原来如此美好，这样的话[精灵]就不会随意暴走了	1	{}			{}	{}					2604308		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2604308	2101001	2	{}		100		让[精灵]更好的融入这个世界，是拯救[精灵]的最好方法	1	{}			{}	{}					2604309		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2604309	2101001	2	{}		100		约会不正是因为这样才存在的么？	1	{}			{}	{}							1								2	{}	1.2										{}											{}										1		{}											1						{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				2	{}	{}		{}		
2701101	2101001	2	{}		100		「十香就像是我的亲人一样」	1	{}			{}	{}					2604302	1	10107			id_pose_10		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2701201	2101001	2	{}		100		「十香就像是我的好兄弟一样」	1	{}			{}	{}					2701202	1	10107			id_pose_10		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									-20	1						{}	{}					{}	{}		{}		
2701301	2101001	2	{}		100		「十香就像是我的心脏一样」	1	{}			{}	{}					2701302	1	10107			id_pose_10		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2701202	2101001	2	{}		100	夜刀神十香	「原来我在 %s 心里就像是男生一样么！」	1	{}			{}	{}					2701203		1			id_pose_2		id_look_5	103_eff	id_gas	2	{}	1.4										{}											{}										1.3		{}			sound/role/yuyin_shixiang_9.mp3								1						{}	{}					{}	{}		{}		
2701203	2101001	2	{}		100	1	「诶？」	1	{}			{}	{}					2701204		1								2	{}	1.4										{}											{}										1.3		{}											1						{}	{}					{}	{}		{}		
2701204	2101001	2	{}		100	夜刀神十香	「 %s 是在嫌弃我不够温柔么！」	1	{}			{}	{}					2603206		1			id_pose_2		id_look_8			2	{}	1.4										{}											{}										1.3		{}			sound/role/yuyin_shixiang_6.mp3								1						{}	{}					{}	{}		{}		
2701302	2101001	2	{}		100	夜刀神十香	「为什么是心脏呢？」	1	{}			{}	{}					2701303		10107			id_pose_6		id_look_7	103_eff	id_gas	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2701303	2101001	2	{}		100		真是迟钝啊……	1	{}			{}	{}					2701304		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2701304	2101001	2	{}		100	1	「意思就是如果没有十香，我就会立即死去吧」	1	{}			{}	{}					2701305		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2701305	2101001	2	{}		100	夜刀神十香	「不可以！ %s 不可以死！我不要做 %s 的心脏！」	1	{}			{}	{}					2701306		1			id_pose_6		id_look_8			2	{}	1.4										{}											{}										1.3		{}			sound/role/yuyin_shixiang_5.mp3								1						{}	{}					{}	{}		{}		
2701306	2101001	2	{}		100		十香惶恐不安地看着我，感觉像是要哭出来了一般	1	{}			{}	{}					2701307		1								2	{}	1.4										{}											{}										1.3		{}											1						{}	{}					{}	{}		{}		
2701307	2101001	2	{}		100	1	「不会死的……只是做个比喻而已……」	1	{}			{}	{}					2701308		1								2	{}	1.4										{}											{}										1.3		{}											1						{}	{}					{}	{}		{}		
2701308	2101001	2	{}		100		我急忙安慰起颤抖着的十香	1	{}			{}	{}					2601313		1								2	{}	1.4										{}											{}										1.3		{}											1						{}	{}					{}	{}		{}		
1070100001	2101003	2	{}		100			1	{}			{}	{}					70100001	4										{}											{}											{}							scene/bg/bg_jiaoshi.png			1	-1	{}																	{}	{}					{}	{}		{}		
