	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效路径	特效动画	循环特效路径	循环特效动画	1-5章增加音效与BGM	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	自动下一句	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
2041015	2004	7	{}		100	1	那个……鸢一同学，你为什么会穿成这样？	1	{}			{}	{}				1	2041016		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041016	2004	7	{}		100	鸢一折纸	你不喜欢吗？	1	{}			{}	{}					2041017-2041018-2041019	5	1			id_pose_1	1	id_look_2				{}											{}											{}															{}			modle/bust/sounds/DP_02_Tobiichi3.mp3	1												{}	{}					{}	{}		{}		
2041017	2004	7	{}		100		不喜欢……很难看啊！	1	{}			{}	{}					2041022	1	1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041018	2004	7	{}		100		那个，感觉很一般呢……	1	{}			{}	{}					2041020	1	1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041019	2004	7	{}		100		喜欢！折纸超棒！超可爱！	1	{}			{}	{}					2041024	1	1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041020	2004	7	{}		100	鸢一折纸	是吗？你觉得我穿什么好看？	1	{}			{}	{}					2041021		1			id_pose_5		id_look_3				{}											{}											{}															{}			modle/bust/sounds/DP_02_Tobiichi4.mp3	1												{}	{}					{}	{}		{}		
2041021	2004	7	{}		100	1	啊哈哈……不用特别考虑我的感受啦。	1	{}			{}	{}					2041024		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041022	2004	7	{}		100	鸢一折纸	是吗？你认为我穿什么好看？	1	{}			{}	{}					2041023		1			id_pose_1	1	id_look_2				{}											{}											{}															{}			modle/bust/sounds/DP_02_Tobiichi5.mp3	1												{}	{}					{}	{}		{}		
2041023	2004	7	{}		100	1	只是觉得……在家穿成这样稍微有些繁琐…」	1	{}			{}	{}					2041024		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041024	2004	7	{}		100	鸢一折纸	是么，原来你会这么觉得……坐下吧。	1	{}			{}	{}					2041025		1			id_pose_4	1	id_look_4				{}											{}											{}															{}			modle/bust/sounds/DP_02_Tobiichi6.mp3	1												{}	{}					{}	{}		{}		
2041025	2004	7	{}		100		 	1	{}			{}	{}					2041026				2							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
2041026	2004	7	{}		100		 	1	{}			{}	{}					2041027											{}											{}											{}										scene/bg/bg_zhezhijia.png	1		1.5	-1	{"x":284,"y":0}												1	1			{}	{}					{}	{}		{}		
2041027	2004	7	{}		100		我在客厅矮桌前坐下，从进入折纸家开始，耳机里琴里的声音就中断了。	1	{}			{}	{}					2041028											{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041028	2004	7	{}		100		折纸一直在有意接近着我，气氛有些尴尬。	1	{}			{}	{}					2041029		10203	2		id_pose_5		id_look_2			2	{}	1.4										{}											{}															{}																{}	{}					{}	{}		{}		
2041029	2004	7	{}		100		不管说什么都好，赶紧想个话题吧……	1	{}			{}	{}					2041030		1									{}											{}											{}															{}	sound/bgm/date_005.mp3	70														{}	{}					{}	{}		{}		
2041030	2004	7	{}		100	1	那个……鸢一，你很讨厌精灵吗？	1	{}			{}	{}					2041031		1			id_pose_4						{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041031	2004	7	{}		100	鸢一折纸	五年前，精灵将我的双亲夺走。	1	{}			{}	{}					2041032		1			id_pose_2	1	id_look_1				{}											{}											{}															{}			modle/bust/sounds/DP_02_Tobiichi7.mp3	1												{}	{}					{}	{}		{}		
2041032	2004	7	{}		100	1	五年前？	1	{}			{}	{}					2041033		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041033	2004	7	{}		100	鸢一折纸	五年前，我家附近发生了一场大规模火灾。虽然没有对外公开，但那场火灾是由精灵引起的。	1	{}			{}	{}					2041034		1			id_pose_2	1	id_look_4				{}											{}											{}															{}			modle/bust/sounds/DP_02_Tobiichi8.mp3	1												{}	{}					{}	{}		{}		
2041034	2004	7	{}		100	1	什么！	1	{}			{}	{}					2041035		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041035	2004	7	{}		100	鸢一折纸	全身缠绕火焰的精灵夺走了我的一切……所以，我绝对不会原谅精灵。	1	{}			{}	{}					2041036		1			id_pose_2	1	id_look_1				{}											{}											{}															{}			modle/bust/sounds/DP_02_Tobiichi9.mp3	1												{}	{}					{}	{}		{}		
2041036	2004	7	{}		100		正思考着怎么向折纸解释，她突然给我递了一杯颜色奇怪的茶。	1	{}			{}	{}					2041037		1			id_pose_5						{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041037	2004	7	{}		100	鸢一折纸	请用。	1	{}			{}	{}				1	2041038		1			id_pose_1		id_look_2				{}											{}											{}															{}			modle/bust/sounds/DP_02_Tobiichi10.mp3	1												{}	{}					{}	{}		{}		
2041038	2004	7	{}		100	1	……	1	{}			{}	{}					2041039-2041040-2041041	5	1									{}											{}											{}															{}	sound/bgm/date_018.mp3	70														{}	{}					{}	{}		{}		
2041039	2004	7	{}		100		不喝！坚决不喝！	1	{}			{}	{}					2041042	1	1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041040	2004	7	{}		100		唔……有点……不太敢喝呢……	1	{}			{}	{}					2041042	1	1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041041	2004	7	{}		100		既然是折纸亲手端给我的，当然要喝！	1	{}			{}	{}					2041049	1	1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041042	2004	7	{}		100		 	1	{}			{}	{}					2041043				2							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
2041043	2004	7	{}		100		 	1	{}			{}	{}					2041044											{}											{}											{}										scene/bg/bg_zhezhijia.png	1		1.3	-1	{"x":0,"y":0}												1	1			{}	{}					{}	{}		{}		
2041044	2004	7	{}		100	鸢一折纸	请用。	1	{}			{}	{}					2041045		10203	2		id_pose_1	1	id_look_2			2	{}	1.7										{}											{}													特写		{}			modle/bust/sounds/DP_02_Tobiichi11.mp3	1												{}	{}					{}	{}		{}		
2041045	2004	7	{}		100		折纸态度坚定地把茶递到我眼前。	1	{}			{}	{}					2041046		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041046	2004	7	{}		100	1	好吧……唔！——	1	{}			{}	{}					2041047		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041047	2004	7	{}		100		 	1	{}			{}	{}					2041048				2							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
2041048	2004	7	{}		100		 	1	{}			{}	{}					2041049											{}											{}											{}										scene/bg/bg_zhezhijia.png	1		1.3	-1	{"x":0,"y":0}												1	1			{}	{}					{}	{}		{}		
2041049	2004	7	{}		100		这……这到底是什么味道啊！！！	1	{}			{}	{}					2041050											{}											{}											{}		0.1-7-9-5-0.024	4												{}																{}	{}					{}	{}		{}		
2041050	2004	7	{}		100		辛辣刺激的感觉顺着几乎燃烧起来的喉管流进胃部，	1	{}			{}	{}					2041051											{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041051	2004	7	{}		100		我用力按住胸口，感觉身体开始发热，视线也变得模糊……	1	{}			{}	{}					2041052											{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041052	2004	7	{}		100		 	1	{}			{}	{}					2041053											{}											{}											{}										scene/bg/bg_black.png			1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
2041053	2004	7	{}		100		 	1	{}			{}	{}					2041055											{}											{}											{}															{}												1	1			{}	{}		video/cg_main_zhezhifushen.mp4			{}	{}		{}		
2041055	2004	7	{}		100		 	1	{}			{}	{}					2041056											{}											{}											{}										scene/bg/bg_zhezhijia.png	1		1.5	-1	{"x":-284,"y":0}												1	1			{}	{}					{}	{}		{}		
2041056	2004	7	{}		100		如之前所约定的，折纸站起身，准备离开客厅。	1	{}			{}	{}					2041057		10203	2							2	{}	1.2										{}											{}															{}	sound/bgm/date_018.mp3	70														{}	{}					{}	{}		{}		
2041057	2004	7	{}		100	1	折纸？……你要到哪里去？	1	{}			{}	{}					2041058		1			id_pose_1	1	id_look_1				{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041058	2004	7	{}		100	鸢一折纸	洗澡。	1	{}			{}	{}					2041059		1			id_pose_1	1	id_look_1				{}											{}											{}															{}			modle/bust/sounds/DP_02_Tobiichi16.mp3	1												{}	{}					{}	{}		{}		
2041059	2004	7	{}		100		 	1	{}			{}	{}					2041060				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
2041060	2004	7	{}		100		来了！寻找四糸奈的大好机会！	1	{}			{}	{}					2041061											{}											{}											{}															{}																{}	{}					{}	{}		{}		
2041061	2004	7	{}		100		 	1	{}			{}	{}					2041062											{}											{}											{}										scene/bg/bg_huanghunjiedao.png	1	2	1	-1	{"x":0,"y":0}												1	1			{}	{}					{}	{}		{}		
2041062	2004	7	{}		100	五河琴里	找到四糸奈了吗？	1	{}			{}	{}					2041063											{}											{}											{}				effect/dianhua/dianhua	dianhua							2			{}	sound/bgm/date_012.mp3	70	modle/bust/sounds/DP_02_Kotori25.mp3													{}	{}					{}	{}		{}		
2041063	2004	7	{}		100	1	找到了！四糸乃在哪里？	1	{}			{}	{}					2041064											{}											{}											{}				1	1							2			{}																{}	{}					{}	{}		{}		
2041064	2004	7	{}		100	五河琴里	四糸乃正在被AST追杀。	1	{}			{}	{}					2041065											{}											{}											{}				effect/dianhua/dianhua	dianhua							2			{}			modle/bust/sounds/DP_02_Kotori26.mp3													{}	{}					{}	{}		{}		
2041065	2004	7	{}		100	1	什么！？@\n给我一个定位，我马上赶过去！	1	{}			{}	{}					2041066											{}											{}											{}		0.1-7-9-5-0.024	4	1	1							2			{}																{}	{}					{}	{}		{}		
2041066	2004	7	{}		100	五河琴里	战场很混乱，一定不能掉以轻心！	1	{}			{}	{}				1	2041067											{}											{}											{}				effect/dianhua/dianhua	dianhua							2			{}			modle/bust/sounds/DP_02_Kotori27.mp3													{}	{}					{}	{}		{}		
2041067	2004	7	{}		100	五河琴里	十香已经被令音好好开导过了，她会过去帮你。	1	{}			{}	{}																{}											{}											{}				effect/dianhua/dianhua	dianhua							2			{}			modle/bust/sounds/DP_02_Kotori28.mp3													{"fix":{"items":[{"id":500001,"min":80,"max":80},{"id":500005,"min":7,"max":7},{"id":500016,"min":5,"max":5},{"id":510208,"min":1,"max":1},{"id":510101,"min":1,"max":1},{"id":510151,"min":1,"max":1}]}}	{}					{}	{}		{}		
																																																																																													
2051001	2005	7	{}		100		 	1	{}			{}	{}					2051002											{}											{}											{}				1	1					scene/bg/bg_black.png	2		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
2051002	2005	7	{}		100		 	1	{}			{}	{}					2051003											{}											{}											{}															{}																{}	{}		video/cg_main_jinrujiejie.mp4			{}	{}		{}		
2051003	2005	7	{}		100		 	1	{}			{}	{}					2051004											{}											{}											{}										scene/bg/bg_sisinafengbao.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
2051004	2005	7	{}		100	1	四糸乃！	1	{}			{}	{}					2051005											{}											{}											{}															{}	sound/bgm/date_017.mp3	70														{}	{}					{}	{}		{}		
2051005	2005	7	{}		100	四糸乃	是……你吗？！	1	{}			{}	{}					2051006		10301	2		dialog_fear	1	id_look_6			2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_02_Yoshino16.mp3	1												{}	{}					{}	{}		{}		
2051006	2005	7	{}		100	1	啊，好险……还以为我会死掉。！	1	{}			{}	{}					2051007		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2051007	2005	7	{}		100	四糸乃	没……事吧？受伤……了？	1	{}			{}	{}					2051008		1									{}											{}											{}															{}			modle/bust/sounds/DP_02_Yoshino17.mp3	1												{}	{}					{}	{}		{}		
2051008	2005	7	{}		100	1	啊，没事、没事的！和约定一样，我来救你了	1	{}			{}	{}				1	2051009		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2051009	2005	7	{}		100	四糸乃	呜呜呜呜……	1	{}			{}	{}					2051010-2051011-2051012	5	1			dialog_cry	1	id_look_4				{}											{}											{}															{}			modle/bust/sounds/DP_02_Yoshino18.mp3	1												{}	{}					{}	{}		{}		
2051010	2005	7	{}		100		怎么哭了？是我做错什么了吗？	1	{}			{}	{}					2051013	1	1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2051011	2005	7	{}		100		别哭别哭，我没有来晚吧？	1	{}			{}	{}					2051013	1	1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2051012	2005	7	{}		100		……我不来会比较开心吗？	1	{}			{}	{}					2051013	1	1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2051013	2005	7	{}		100	四糸乃	没……有……是我……太胆小，攻击……好痛……害怕。	1	{}			{}	{}					2051014		1			dialog_cry						{}											{}											{}															{}			modle/bust/sounds/DP_02_Yoshino19.mp3	1												{}	{}					{}	{}		{}		
2051014	2005	7	{}		100	1	别担心，我来了，会陪着你的。	1	{}			{}	{}					2051015		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2051015	2005	7	{}		100	四糸乃	你来了……很……高兴……	1	{}			{}	{}					2051016		1			dialog_like		id_look_5				{}											{}											{}															{}			modle/bust/sounds/DP_02_Yoshino20.mp3	1												{}	{}					{}	{}		{}		
2051016	2005	7	{}		100	1	对了！四糸乃，看这个！	1	{}			{}	{}					2051017		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2051017	2005	7	{}		100		 	1	{}			{}	{}					2051018				2							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
2051018	2005	7	{}		100		 	1	{}			{}	{}					2051019											{}											{}											{}										scene/bg/bg_black.png	2		1.3	-1	{"x":51,"y":0}												1	1			{}	{}					{}	{}		{}		
2051019	2005	7	{}		100		 	1	{}			{}	{}					2051020											{}											{}											{}										scene/bg/bg_sisinafengbao.png	12		1.3	1	{"x":0,"y":0}												1	1			{}	{}					{}	{}		{}		
2051020	2005	7	{}		100		我把藏在胸口的四糸奈玩偶递给四糸乃。	1	{}			{}	{}					2051021											{}											{}											{}															{}	sound/bgm/date_017.mp3	70														{}	{}					{}	{}		{}		
2051021	2005	7	{}		100	四糸奈	哟哈～很久不见了呢~身体好吗？啊啊，幸运色鬼也在啊。	1	{}			{}	{}					2051022		10301	2		id1_tuzi	1	0			2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_02_Yoshinon33.mp3	4												{}	{}					{}	{}		{}		
2051022	2005	7	{}		100	1	我回想起不久前令音的提醒：	1	{}			{}	{}					2051023		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2051023	2005	7	{}		100		戴上玩偶的时候，四糸乃的体内会诞生另一个人格，并与她共存。	1	{}			{}	{}					2051024		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2051024	2005	7	{}		100		在商场和我说话的并不是四糸乃，而是透过玩偶展现的另一个人格。	1	{}			{}	{}					2051025		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2051025	2005	7	{}		100		四糸乃封闭了内心，躲藏在四糸奈的背后，因此就算接吻也不能把力量封印。	1	{}			{}	{}				1	2051026		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
2051026	2005	7	{}		100	四糸乃	谢……谢……谢谢你……救了……四糸奈。	1	{}			{}	{}					2051027-2051028-2051029	5	1			id_pose_4	1	id_look_8				{}											{}											{}															{}			modle/bust/sounds/DP_02_Yoshino21.mp3	1												{}	{}					{}	{}		{}		
