id	排序	所属日期（1~7分别对应周1~周日）	刷怪组id	关卡等级(刷出怪物的等级，不用刷怪器中的怪物等级)	难度(1-普通关卡，2-BOSS关卡)	关卡类型(1-Boss，2-精灵，3-精英，4-杂兵)	地图ID	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	关卡时长	关卡倒计计时延迟时间	战斗角色大小比例	地图摄像机修正	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	通关条件类型(1歼灭，暂无其他通关条件类型)	通关条件参数	背景音乐	关卡掉落展示	进入等级	消耗资源	可进入次数	奖励	层数奖励	模式名字	模式描述	推荐攻略描述	词缀怪物总数	词缀怪物出现区间	是否播放胜利动作
105081	81	5	3000241-3000242-3000243	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400081	{500001:27000,500002:180,570005:27}	300845	300855	300865	4	3-15	1
105082	82	5	3000244-3000245-3000246	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400082	{500001:27000,500002:180,570005:27}	300845	300855	300865	4	3-15	1
105083	83	5	3000247	60	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400083	{500001:27000,500002:180,570005:27}	300845	300855	300865	4	3-15	1
105084	84	5	3000250	60	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400084	{500001:27000,500002:180,570005:27}	300845	300855	300865	4	3-15	1
105085	85	5	3000253-3000254-3000255	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400085	{500001:27000,500002:180,570005:27}	300845	300855	300865	4	3-15	1
105086	86	5	3000256-3000257-3000258	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400086	{500001:27000,500002:180,570005:27}	300845	300855	300865	4	3-15	1
105087	87	5	3000259	60	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400087	{500001:27000,500002:180,570005:27}	300845	300855	300865	4	3-15	1
105088	88	5	3000262	60	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400088	{500001:27000,500002:180,570005:27}	300845	300855	300865	4	3-15	1
105089	89	5	3000265-3000266-3000267	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400089	{500001:27000,500002:180,570005:27}	300845	300855	300865	4	3-15	1
105090	90	5	4000001	60	2	1	12	2_DEMboss		180	15000	0.6	270			300902	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400090	{500001:27000,500002:180,570005:27}	300845	300855	300865			1
105091	91	5	3000271-3000272-3000273	70	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400091	{500001:30000,500002:200,570005:30}	300845	300855	300865	5	3-15	1
105092	92	5	3000274-3000275-3000276	70	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400092	{500001:30000,500002:200,570005:30}	300845	300855	300865	5	3-15	1
105093	93	5	3000277	70	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400093	{500001:30000,500002:200,570005:30}	300845	300855	300865	5	3-15	1
105094	94	5	3000280	70	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400094	{500001:30000,500002:200,570005:30}	300845	300855	300865	5	3-15	1
105095	95	5	3000283-3000284-3000285	70	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400095	{500001:30000,500002:200,570005:30}	300845	300855	300865	5	3-15	1
105096	96	5	3000286-3000287-3000288	70	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400096	{500001:30000,500002:200,570005:30}	300845	300855	300865	5	3-15	1
105097	97	5	3000289	70	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400097	{500001:30000,500002:200,570005:30}	300845	300855	300865	5	3-15	1
105098	98	5	3000292	70	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400098	{500001:30000,500002:200,570005:30}	300845	300855	300865	5	3-15	1
105099	99	5	3000295-3000296-3000297	70	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8102	1	300902	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400099	{500001:30000,500002:200,570005:30}	300845	300855	300865	5	3-15	1
105100	100	5	4000001	70	2	1	12	2_DEMboss		180	15000	0.6	270			300902	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400100	{500001:30000,500002:200,570005:30}	300845	300855	300865			1
																															
																															
																															
106001	1	6	3000001-3000002-3000003	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400001	{500001:3000,500002:20,570005:3}	300846	300856	300866	2	3-15	1
106002	2	6	3000004-3000005-3000006	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400002	{500001:3000,500002:20,570005:3}	300846	300856	300866	2	3-15	1
106003	3	6	3000007	10	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400003	{500001:3000,500002:20,570005:3}	300846	300856	300866	2	3-15	1
106004	4	6	3000010	10	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400004	{500001:3000,500002:20,570005:3}	300846	300856	300866	2	3-15	1
106005	5	6	3000013-3000014-3000015	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400005	{500001:3000,500002:20,570005:3}	300846	300856	300866	2	3-15	1
106006	6	6	3000016-3000017-3000018	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400006	{500001:3000,500002:20,570005:3}	300846	300856	300866	2	3-15	1
106007	7	6	3000019	10	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400007	{500001:3000,500002:20,570005:3}	300846	300856	300866	2	3-15	1
106008	8	6	3000022	10	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400008	{500001:3000,500002:20,570005:3}	300846	300856	300866	2	3-15	1
106009	9	6	3000025-3000026-3000027	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400009	{500001:3000,500002:20,570005:3}	300846	300856	300866	2	3-15	1
106010	10	6	4000001	10	2	1	12	2_DEMboss		180	15000	0.6	270			300907	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400010	{500001:3000,500002:20,570005:3}	300846	300856	300866			1
106011	11	6	3000031-3000032-3000033	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400011	{500001:6000,500002:40,570005:6}	300846	300856	300866	2	3-15	1
106012	12	6	3000034-3000035-3000036	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400012	{500001:6000,500002:40,570005:6}	300846	300856	300866	2	3-15	1
106013	13	6	3000037	15	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400013	{500001:6000,500002:40,570005:6}	300846	300856	300866	2	3-15	1
106014	14	6	3000040	15	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400014	{500001:6000,500002:40,570005:6}	300846	300856	300866	2	3-15	1
106015	15	6	3000043-3000044-3000045	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400015	{500001:6000,500002:40,570005:6}	300846	300856	300866	2	3-15	1
106016	16	6	3000046-3000047-3000048	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400016	{500001:6000,500002:40,570005:6}	300846	300856	300866	2	3-15	1
106017	17	6	3000049	15	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400017	{500001:6000,500002:40,570005:6}	300846	300856	300866	2	3-15	1
106018	18	6	3000052	15	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400018	{500001:6000,500002:40,570005:6}	300846	300856	300866	2	3-15	1
106019	19	6	3000055-3000056-3000057	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400019	{500001:6000,500002:40,570005:6}	300846	300856	300866	2	3-15	1
106020	20	6	4000001	15	2	1	12	2_DEMboss		180	15000	0.6	270			300907	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400020	{500001:6000,500002:40,570005:6}	300846	300856	300866			1
106021	21	6	3000061-3000062-3000063	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400021	{500001:9000,500002:60,570005:9}	300846	300856	300866	2	3-15	1
106022	22	6	3000064-3000065-3000066	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400022	{500001:9000,500002:60,570005:9}	300846	300856	300866	2	3-15	1
106023	23	6	3000067	20	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400023	{500001:9000,500002:60,570005:9}	300846	300856	300866	2	3-15	1
106024	24	6	3000070	20	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400024	{500001:9000,500002:60,570005:9}	300846	300856	300866	2	3-15	1
106025	25	6	3000073-3000074-3000075	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400025	{500001:9000,500002:60,570005:9}	300846	300856	300866	2	3-15	1
106026	26	6	3000076-3000077-3000078	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400026	{500001:9000,500002:60,570005:9}	300846	300856	300866	2	3-15	1
106027	27	6	3000079	20	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400027	{500001:9000,500002:60,570005:9}	300846	300856	300866	2	3-15	1
106028	28	6	3000082	20	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400028	{500001:9000,500002:60,570005:9}	300846	300856	300866	2	3-15	1
106029	29	6	3000085-3000086-3000087	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400029	{500001:9000,500002:60,570005:9}	300846	300856	300866	2	3-15	1
106030	30	6	4000001	20	2	1	12	2_DEMboss		180	15000	0.6	270			300907	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400030	{500001:9000,500002:60,570005:9}	300846	300856	300866			1
106031	31	6	3000091-3000092-3000093	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400031	{500001:12000,500002:80,570005:12}	300846	300856	300866	3	3-15	1
106032	32	6	3000094-3000095-3000096	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400032	{500001:12000,500002:80,570005:12}	300846	300856	300866	3	3-15	1
106033	33	6	3000097	25	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400033	{500001:12000,500002:80,570005:12}	300846	300856	300866	3	3-15	1
106034	34	6	3000100	25	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400034	{500001:12000,500002:80,570005:12}	300846	300856	300866	3	3-15	1
106035	35	6	3000103-3000104-3000105	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400035	{500001:12000,500002:80,570005:12}	300846	300856	300866	3	3-15	1
106036	36	6	3000106-3000107-3000108	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400036	{500001:12000,500002:80,570005:12}	300846	300856	300866	3	3-15	1
106037	37	6	3000109	25	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400037	{500001:12000,500002:80,570005:12}	300846	300856	300866	3	3-15	1
106038	38	6	3000112	25	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400038	{500001:12000,500002:80,570005:12}	300846	300856	300866	3	3-15	1
106039	39	6	3000115-3000116-3000117	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400039	{500001:12000,500002:80,570005:12}	300846	300856	300866	3	3-15	1
106040	40	6	4000001	25	2	1	12	2_DEMboss		180	15000	0.6	270			300907	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400040	{500001:12000,500002:80,570005:12}	300846	300856	300866			1
106041	41	6	3000121-3000122-3000123	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400041	{500001:15000,500002:100,570005:15}	300846	300856	300866	3	3-15	1
106042	42	6	3000124-3000125-3000124	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400042	{500001:15000,500002:100,570005:15}	300846	300856	300866	3	3-15	1
106043	43	6	3000127	30	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400043	{500001:15000,500002:100,570005:15}	300846	300856	300866	3	3-15	1
106044	44	6	3000130	30	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400044	{500001:15000,500002:100,570005:15}	300846	300856	300866	3	3-15	1
106045	45	6	3000133-3000134-3000135	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400045	{500001:15000,500002:100,570005:15}	300846	300856	300866	3	3-15	1
106046	46	6	3000136-3000137-3000138	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400046	{500001:15000,500002:100,570005:15}	300846	300856	300866	3	3-15	1
106047	47	6	3000139	30	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400047	{500001:15000,500002:100,570005:15}	300846	300856	300866	3	3-15	1
106048	48	6	3000142	30	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400048	{500001:15000,500002:100,570005:15}	300846	300856	300866	3	3-15	1
106049	49	6	3000145-3000146-3000147	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400049	{500001:15000,500002:100,570005:15}	300846	300856	300866	3	3-15	1
106050	50	6	4000001	30	2	1	12	2_DEMboss		180	15000	0.6	270			300907	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400050	{500001:15000,500002:100,570005:15}	300846	300856	300866			1
106051	51	6	3000151-3000152-3000153	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400051	{500001:18000,500002:120,570005:18}	300846	300856	300866	3	3-15	1
106052	52	6	3000154-3000155-3000156	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400052	{500001:18000,500002:120,570005:18}	300846	300856	300866	3	3-15	1
106053	53	6	3000157	35	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400053	{500001:18000,500002:120,570005:18}	300846	300856	300866	3	3-15	1
106054	54	6	3000160	35	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400054	{500001:18000,500002:120,570005:18}	300846	300856	300866	3	3-15	1
106055	55	6	3000163-3000164-3000165	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400055	{500001:18000,500002:120,570005:18}	300846	300856	300866	3	3-15	1
106056	56	6	3000166-3000167-3000168	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400056	{500001:18000,500002:120,570005:18}	300846	300856	300866	3	3-15	1
106057	57	6	3000169	35	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400057	{500001:18000,500002:120,570005:18}	300846	300856	300866	3	3-15	1
106058	58	6	3000172	35	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400058	{500001:18000,500002:120,570005:18}	300846	300856	300866	3	3-15	1
106059	59	6	3000175-3000176-3000177	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400059	{500001:18000,500002:120,570005:18}	300846	300856	300866	3	3-15	1
106060	60	6	4000001	35	2	1	12	2_DEMboss		180	15000	0.6	270			300907	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400060	{500001:18000,500002:120,570005:18}	300846	300856	300866			1
106061	61	6	3000181-3000182-3000183	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400061	{500001:21000,500002:140,570005:21}	300846	300856	300866	4	3-15	1
106062	62	6	3000184-3000185-3000186	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400062	{500001:21000,500002:140,570005:21}	300846	300856	300866	4	3-15	1
106063	63	6	3000187	40	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400063	{500001:21000,500002:140,570005:21}	300846	300856	300866	4	3-15	1
106064	64	6	3000190	40	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400064	{500001:21000,500002:140,570005:21}	300846	300856	300866	4	3-15	1
106065	65	6	3000193-3000194-3000195	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400065	{500001:21000,500002:140,570005:21}	300846	300856	300866	4	3-15	1
106066	66	6	3000196-3000197-3000198	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400066	{500001:21000,500002:140,570005:21}	300846	300856	300866	4	3-15	1
106067	67	6	3000199	40	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400067	{500001:21000,500002:140,570005:21}	300846	300856	300866	4	3-15	1
106068	68	6	3000202	40	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400068	{500001:21000,500002:140,570005:21}	300846	300856	300866	4	3-15	1
106069	69	6	3000205-3000206-3000207	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400069	{500001:21000,500002:140,570005:21}	300846	300856	300866	4	3-15	1
106070	70	6	4000001	40	2	1	12	2_DEMboss		180	15000	0.6	270			300907	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400070	{500001:21000,500002:140,570005:21}	300846	300856	300866			1
106071	71	6	3000211-3000212-3000213	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400071	{500001:24000,500002:160,570005:24}	300846	300856	300866	4	3-15	1
106072	72	6	3000214-3000215-3000216	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400072	{500001:24000,500002:160,570005:24}	300846	300856	300866	4	3-15	1
106073	73	6	3000217	50	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400073	{500001:24000,500002:160,570005:24}	300846	300856	300866	4	3-15	1
106074	74	6	3000220	50	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400074	{500001:24000,500002:160,570005:24}	300846	300856	300866	4	3-15	1
106075	75	6	3000223-3000224-3000225	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400075	{500001:24000,500002:160,570005:24}	300846	300856	300866	4	3-15	1
106076	76	6	3000226-3000227-3000228	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400076	{500001:24000,500002:160,570005:24}	300846	300856	300866	4	3-15	1
106077	77	6	3000229	50	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8107	3	300907	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400077	{500001:24000,500002:160,570005:24}	300846	300856	300866	4	3-15	1
